name,latitude,longitude,elevation_m,type
Schutzhütte Am Hohlebrunn Kilometer 160,50.4083181,11.5921582,645,Schutzhütte
Schutzhütte am Pferdeweg Kilometer 161,50.4054006,11.6001696,640,Schutzhütte
Schutzhütte Rindenhütte Kilometer 124,50.4761189,10.98792,821,Schutzhütte
Schutzhütte Spießberg Kilometer 40,50.8241469,10.5404809,748,Schutzhütte
Aussichtsturm Hoher Schorn Kilometer 56,50.7316172,10.6271268,842,Schutzhütte
Aussichtsturm Plänckners Aussicht Kilometer 69,50.6566641,10.7433334,973,Unterstand
Aussichtsturm Südlicher Spießberg Kilometer 42,50.8172027,10.5420057,729,Schutzhütte
Beerberggrotte Kilometer 31,50.8451146,10.4418112,793,Schutzhütte
Vordere Werraquelle Kilometer 120,50.499497,10.9647617,783,Wasserstelle
Clemens-Major-Schutzhütte Kilometer 128,50.493985,11.2427265,785,Schutzhütte
Luisengrotte,50.934518,10.307354,404,Unterstand
Pirschhaus Dreiherrenstein Kilometer 50,50.791519,10.5384168,730,Schutzhütte
Rastplatz Am Beerholz Kilometer 162,50.4068217,11.6137745,666,Unterstand
Rastplatz Hofmannlinde Kilometer 10,50.9482007,10.2753301,387,Schutzhütte
Rastplatz Kilometer 115,50.4963317,11.1023376,852,Unterstand
Rastplatz Kilometer 13,50.9381292,10.2983253,416,Unterstand
Rastplatz südlich Neuhaus,50.5013221,11.129727,816,Unterstand
Rennsteiggrotte Kilometer 17,50.9128652,10.3321869,498,Schutzhütte
Rennsteighaus Brennersgrün/Lehesten Kilometer 150,50.4374132,11.4698268,703,Schutzhütte
Rennsteighaus Masserberg Kilometer 99,50.517869,10.964758,832,Schutzhütte
Rennsteighaus Neuhaus am Rennweg Kilometer 118,50.5016115,11.1446326,826,Schutzhütte
Rennsteighaus Oberhof Kilometer 62,50.706375,10.6944926,842,Schutzhütte
Schutzhütte Adler Kilometer 70,50.6528316,10.7544565,919,Schutzhütte
Schutzhütte Alte Ausspanne Kilometer 46,50.7842077,10.5588043,743,Schutzhütte
Schutzhütte Alte Landesgrenze Kilometer 87,50.5982533,10.9071798,786,Schutzhütte
Schutzhütte am Alsbachberg Kilometer 111,50.476846,11.0663813,755,Schutzhütte
Schutzhütte am Bergsee,50.780228,10.5256185,790,Schutzhütte
Schutzhütte am Brand,50.4958149,11.2185358,808,Schutzhütte
Schutzhütte am Dreistromstein Kilometer 109,50.4741942,11.0393757,818,Schutzhütte
Schutzhütte am Gustav-Freytag-Stein Kilometer 58,50.7158135,10.6494724,876,Schutzhütte
Schutzhütte Am Habichtsberg Kilometer 137,50.4962229,11.0921515,835,Schutzhütte
Schutzhütte Am Kreuz Kilometer 41,50.8131563,10.5418731,700,Schutzhütte
Schutzhütte Am Kulmberg Kilometer 159,50.41662,11.5956219,677,Schutzhütte
Schutzhütte am Langertfelsen,50.525339,10.9375073,800,Schutzhütte
